Classifier,Accuracy,Sensitivity,Specificity,F-score
Random Forest (MinMaxScaler),0.956140350877193,0.9891304347826086,0.8181818181818182,0.9732620320855615
Random Forest (StandardScaler + SelectKBest),0.956140350877193,0.9891304347826086,0.8181818181818182,0.9732620320855615
Gradient Boosting (StandardScaler + SelectKBest),0.956140350877193,0.9891304347826086,0.8181818181818182,0.9732620320855615
Gradient Boosting (MinMaxScaler),0.956140350877193,0.967391304347826,0.9090909090909091,0.9726775956284153
Random Forest (StandardScaler),0.9473684210526315,0.9891304347826086,0.7727272727272727,0.9680851063829787
Gradient Boosting (StandardScaler),0.9473684210526315,0.9782608695652174,0.8181818181818182,0.967741935483871
Voting Ensemble (MinMaxScaler),0.9473684210526315,0.9782608695652174,0.8181818181818182,0.967741935483871
Voting Ensemble (StandardScaler + SelectKBest),0.9473684210526315,0.9782608695652174,0.8181818181818182,0.967741935483871
XGBoost (MinMaxScaler),0.9473684210526315,0.967391304347826,0.8636363636363636,0.967391304347826
Stacking Ensemble (MinMaxScaler),0.9473684210526315,0.9565217391304348,0.9090909090909091,0.967032967032967
Extra Trees (StandardScaler),0.9385964912280702,0.9782608695652174,0.7727272727272727,0.9625668449197861
Voting Ensemble (StandardScaler),0.9385964912280702,0.9782608695652174,0.7727272727272727,0.9625668449197861
XGBoost (StandardScaler),0.9298245614035088,0.967391304347826,0.7727272727272727,0.956989247311828
KNN (StandardScaler),0.9298245614035088,0.967391304347826,0.7727272727272727,0.956989247311828
Extra Trees (MinMaxScaler),0.9298245614035088,0.967391304347826,0.7727272727272727,0.956989247311828
Extra Trees (StandardScaler + SelectKBest),0.9298245614035088,0.967391304347826,0.7727272727272727,0.956989247311828
XGBoost (StandardScaler + SelectKBest),0.9298245614035088,0.967391304347826,0.7727272727272727,0.956989247311828
Stacking Ensemble (StandardScaler + SelectKBest),0.9298245614035088,0.9565217391304348,0.8181818181818182,0.9565217391304348
SVM (RBF) (StandardScaler),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
Logistic Regression (StandardScaler),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
SVM (RBF) (MinMaxScaler),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
Logistic Regression (MinMaxScaler),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
SVM (RBF) (StandardScaler + SelectKBest),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
Logistic Regression (StandardScaler + SelectKBest),0.9210526315789473,0.967391304347826,0.7272727272727273,0.9518716577540107
Stacking Ensemble (StandardScaler),0.9210526315789473,0.9565217391304348,0.7727272727272727,0.9513513513513514
KNN (MinMaxScaler),0.9210526315789473,0.9565217391304348,0.7727272727272727,0.9513513513513514
KNN (StandardScaler + SelectKBest),0.9210526315789473,0.9565217391304348,0.7727272727272727,0.9513513513513514
